date,max,average,min,precipitation,rain,city
2/28/16,61,52.5,45,1.18,1,0
2/29/16,64,54.8,46,0.00,0,0
3/1/16,63,53.6,43,0.00,0,0
3/2/16,66,56.5,48,0.00,0,0
3/3/16,61,55.8,50,0.00,0,0
3/4/16,64,55.7,48,0.47,1,0
3/5/16,63,53.1,43,0.18,1,0
3/6/16,63,53,45,0.25,1,0
3/7/16,63,53.6,46,0.77,1,0
3/8/16,64,54.8,46,0.00,0,0
3/9/16,64,56.2,46,0.15,1,0
3/10/16,64,55.8,50,0.00,0,0
3/11/16,61,54.6,48,0.00,0,0
3/12/16,64,57.5,45,0.00,0,0
3/13/16,63,54.8,43,0.00,0,0
3/14/16,61,54.2,45,0.00,0,0
3/15/16,63,56.4,50,3.46,1,0
3/16/16,63,55,46,0.08,1,0
3/17/16,61,54.8,46,0.00,0,0
3/18/16,61,56.4,50,3.98,1,0
3/19/16,61,56,48,3.49,1,0
3/20/16,59,55.2,48,2.51,1,0
3/21/16,61,53.8,45,1.95,1,0
3/22/16,66,56,48,0.00,0,0
3/23/16,61,55.2,50,0.78,1,0
3/24/16,68,58.5,48,0.00,0,0
3/25/16,63,56.6,46,0.00,0,0
3/26/16,63,56.3,46,1.98,1,0
3/27/16,64,58.5,52,0.00,0,0
3/28/16,63,55.3,46,0.00,0,0
3/29/16,64,56.9,48,0.00,0,0
3/30/16,64,57.7,50,1.63,1,0
3/31/16,64,55.9,46,0.66,1,0
4/1/16,64,56.8,50,0.00,0,0
4/2/16,61,55.1,46,3.68,1,0
4/3/16,63,58.2,54,2.83,1,0
4/4/16,61,57.8,54,3.27,1,0
4/5/16,68,58.7,52,0.12,1,0
4/6/16,68,60.5,52,0.00,0,0
4/7/16,68,61.5,54,0.00,0,0
4/8/16,70,62.2,54,0.00,0,0
4/9/16,68,58.6,52,0.06,1,0
4/10/16,63,56.7,52,1.89,1,0
4/11/16,63,58,52,1.19,1,0
4/12/16,63,58.9,54,2.09,1,0
4/13/16,64,59.9,52,0.93,1,0
4/14/16,66,61.6,59,6.96,1,0
4/15/16,66,61.6,59,9.18,1,0
4/16/16,66,62.3,59,3.08,1,0
4/17/16,64,59.6,55,0.00,0,0
4/18/16,68,61.6,54,2.33,1,0
4/19/16,66,62.4,59,1.05,1,0
4/20/16,63,58.8,54,0.00,0,0
4/21/16,64,60.1,54,1.62,1,0
4/22/16,66,62.2,57,0.21,1,0
4/23/16,66,63.5,61,0.31,1,0
4/24/16,70,64.8,59,0.00,0,0
4/25/16,77,67.9,61,0.00,0,0
4/26/16,70,65.9,59,0.00,0,0
4/27/16,66,61.2,55,0.00,0,0
4/28/16,68,61.2,54,0.00,0,0
4/29/16,70,64.6,59,0.00,0,0
4/30/16,73,67.3,57,0.00,0,0
5/1/16,77,70.3,64,0.00,0,0
5/2/16,81,69.9,63,0.00,0,0
5/3/16,79,69.7,59,0.00,0,0
5/4/16,72,66.7,64,0.00,0,0
5/5/16,68,63.6,61,4.35,1,0
5/6/16,66,61.6,57,3.61,1,0
5/7/16,64,59.6,54,11.75,1,0
5/8/16,66,62.1,57,2.35,1,0
5/9/16,66,62.5,59,1.60,1,0
5/10/16,66,60.9,57,4.05,1,0
5/11/16,64,60.7,54,9.65,1,0
5/12/16,66,61.4,57,2.91,1,0
5/13/16,70,60.6,54,1.03,1,0
5/14/16,70,61.9,54,0.00,0,0
5/15/16,70,64,54,0.00,0,0
5/16/16,77,70.8,64,0.00,0,0
5/17/16,79,73.2,70,0.00,0,0
5/18/16,73,68.2,63,0.00,0,0
5/19/16,75,67.8,59,0.00,0,0
5/20/16,82,72.6,66,0.00,0,0
5/21/16,73,68,63,0.00,0,0
5/22/16,79,67.3,61,0.00,0,0
5/23/16,77,68.4,55,0.00,0,0
5/24/16,70,65.3,61,0.86,1,0
5/25/16,68,63.7,59,0.02,1,0
5/26/16,68,63.6,57,0.00,0,0
5/27/16,72,65,57,0.03,1,0
5/28/16,70,65.1,61,7.38,1,0
5/29/16,68,63.7,57,0.36,1,0
5/30/16,77,65.7,55,0.00,0,0
5/31/16,81,69.8,57,0.00,0,0
6/1/16,81,73.1,64,0.08,1,0
6/2/16,77,71.5,64,0.00,0,0
6/3/16,72,65.7,61,0.00,0,0
6/4/16,73,65.3,57,0.00,0,0
6/5/16,73,68,61,0.00,0,0
6/6/16,77,71.2,63,0.00,0,0
6/7/16,88,77.9,68,0.00,0,0
6/8/16,84,78.2,68,0.00,0,0
6/9/16,93,80.2,72,0.00,0,0
6/10/16,81,72.3,63,0.00,0,0
6/11/16,86,72.4,61,0.00,0,0
6/12/16,88,73.6,63,0.00,0,0
6/13/16,93,80.3,70,0.00,0,0
6/14/16,86,72.4,64,0.40,1,0
6/15/16,73,66.3,61,0.59,1,0
